|   # |      Column Name | IMAGE (single) | IMAGE (single) MEF format | MEFIMAGE (mosaic) MEF format | IMAGE.FLUXMAP | SPECTRUM | CUBE.IFS | VISIBILITY | SRCTBL | MCATALOG | CATALOGTILE |   CATALOG |
|   1 |         PRODCATG |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |       MM |          MM |        MM |
|   2 |           ASSOCi |           MA31 |                      MA31 |                         MA31 |          MA31 |     MA31 |     MA31 |       MA31 |   MA31 |       NA |        MA31 |      MA31 |
|   3 |           ASSONi |           MA32 |                      MA32 |                         MA32 |           M33 |     MA32 |      M34 |       MA32 |   MA32 |       NA |        MA32 |      MA32 |
|   4 |           ASSOMi |           MA31 |                      MA31 |                         MA31 |          MA31 |     MA31 |     MA31 |       MA31 |   MA31 |       NA |        MA31 |      MA31 |
|   5 |           ORIGIN |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |       MM |          MM |        MM |
|   6 | TELESCOP TELESCi |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |       MM |          MM |        MM |
|   7 |  INSTRUME INSTRi |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |       MM |          MM |        MM |
|   8 |   FILTER FILTERi |             MM |                        MM |                           MM |            MM |       NA |       NA |         NA |     MM |     MA35 |        MA35 |      MA35 |
|   9 |           OBJECT |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |       MM |          MM |        MM |
|  10 |           RA DEC |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |       NA |          MM |      MA36 |
|  11 |          EQUINOX |           MA37 |                      MA37 |                         MA37 |          MA37 |     MA37 |     MA37 |       MA37 |   MA37 |       NA |        MA37 | MA37 MA36 |
|  12 |          RADESYS |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |       NA |          MM |      MA36 |
|  13 |          TIMESYS |           MA38 |                      MA38 |                         MA38 |          MA38 |     MA38 |     MA38 |       MA38 |   MA38 |     MA38 |        MA38 |      MA38 |
|  14 |          EXPTIME |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |       NA |          NA |        NA |
|  15 |         TEXPTIME |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |       NA |          NA |        NA |
|  16 |          MJD-OBS |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |       MM |          MM |        MM |
|  17 |          MJD-END |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |       MM |          MM |        MM |
|  18 |  PROG_ID PROGIDi |             ME |                        ME |                           ME |            ME |       ME |       ME |         ME |     ME |       ME |          ME |        ME |
|  19 |            OBIDi |             ME |                        ME |                           ME |            ME |       ME |       ME |         ME |     ME |       ME |          ME |        ME |
|  20 |         NCOMBINE |             ME |                        ME |                           ME |            ME |       ME |       ME |         ME |     ME |       NA |          NA |        NA |
|  21 |          OBSTECH |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |     MA39 |        MA39 |      MA39 |
|  22 |          FLUXCAL |             MM |                        MM |                           MM |            MM |       MM |       MM |         NA |     NA |       NA |          NA |        NA |
|  23 |         PROCSOFT |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |       MM |          MM |        MM |
|  24 |         REFERENC |            M40 |                       M40 |                          M40 |           M40 |      M40 |      M40 |        M40 |    M40 |      M40 |         M40 |       M40 |
|  25 |    PROVi PROVXTN |             ME |                        ME |                           ME |            ME |       ME |       ME |         ME |     ME |       NA |          ME |        ME |
|  26 |            BUNIT |             MM |                        NA |                           NA |            MM |       NO |       NA |         NA |     NA |       NA |          NA |        NA |
|  27 |             GAIN |             OP |                        OP |                           OP |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  28 |           DETRON |             OP |                        OP |                           OP |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  29 |           EFFRON |             OP |                        OP |                           OP |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  30 |           WEIGHT |             OP |                        OP |                           OP |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  31 |           CRVALi |             MM |                        NA |                           NA |            MM |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  32 |           CRPIXi |             MM |                        NA |                           NA |            MM |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  33 |           CTYPEi |             MM |                        NA |                           NA |            MM |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  34 |           CUNITi |             MM |                        NA |                           NA |            MM |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  35 |            CDi_j |             MM |                        NA |                           NA |            MM |       NO |       NA |         NA |     NA |       NA |          NA |        NA |
|  36 |           CSYERi |             RC |                        NA |                           NA |            RC |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  37 |           CRDERi |             RC |                        NA |                           NA |            RC |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  38 |           PHOTZP |             MM |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  39 |         PHOTZPER |             RC |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  40 |          PHOTSYS |             MM |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       MM |          MM |        MM |
|  41 |          SPECSYS |             NA |                        NA |                           NA |            NA |       MM |       MM |         MM |     NA |       NA |          NA |        NA |
|  42 |          EXT_OBJ |             NA |                        NA |                           NA |            NA |     MA42 |       NA |         NA |     NA |       NA |          NA |        NA |
|  43 |         CONTNORM |             NA |                        NA |                           NA |            NA |       MM |       NA |         NA |     NA |       NA |          NA |        NA |
|  44 |         TOT_FLUX |             NA |                        NA |                           NA |            NA |       MM |       NA |         NA |     NA |       NA |          NA |        NA |
|  45 |          FLUXERR |             NA |                        NA |                           NA |            MM |      M43 |       NA |         NA |     NA |       NA |          NA |        NA |
|  46 |         WAVELMIN |             NA |                        NA |                           NA |            MM |       MM |       MM |         MM |     NA |     MA44 |        MA44 |      MA44 |
|  47 |         WAVELMAX |             NA |                        NA |                           NA |            MM |       MM |       MM |         MM |     NA |     MA44 |        MA44 |      MA44 |
|  48 |           LAMRMS |             NA |                        NA |                           NA |            NA |       OP |       NA |         NA |     NA |       NA |          NA |        NA |
|  49 |          LAMNLIN |             NA |                        NA |                           NA |            NA |       OP |       NA |         NA |     NA |       NA |          NA |        NA |
|  50 |         SPEC_BIN |             NA |                        NA |                           NA |            NA |       MM |       NO |         NA |     NA |       NA |          NA |        NA |
|  51 |         SPEC_ERR |             NA |                        NA |                           NA |            NA |       RC |       NA |         MM |     NA |       NA |          NA |        NA |
|  52 |         SPEC_SYE |             NA |                        NA |                           NA |            NA |       RC |       NA |         MM |     NA |       NA |          NA |        NA |
|  53 |           RA_ERR |             NO |                        NO |                           NO |            NO |       RC |       NO |         NA |     NA |       NA |          NA |        NA |
|  54 |          DEC_ERR |             NO |                        NO |                           NO |            NO |       RC |       NO |         NA |     NA |       NA |          NA |        NA |
|  55 |            NELEM |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  56 |          VOCLASS |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
