#,Column Name,IMAGE (single),IMAGE (single) MEF format,MEFIMAGE (mosaic) MEF format,IMAGE.FLUXMAP,SPECTRUM,CUBE.IFS,VISIBILITY,SRCTBL,MCATALOG,CATALOGTILE,CATALOG
107,FPDEia,NA,NA,NA,NA,NA,NA,NA,NA,MA53,MM,MA53
108,SKYSQDEG,NA,NA,NA,NA,NA,NA,NA,NA,MM,MM,MA54
109,M_EPOCH,NA,NA,NA,NA,NA,NA,NA,NA,MA55,MA55,MA55
110,APMATCHD,NA,NA,NA,NA,NA,NA,NA,NA,MA56,MA56,MA56
111,TXLNKi,NA,NA,NA,NA,NA,NA,NA,NA,MA57,MA57 MA58,MA57 MA58
112,TXRGF,NA,NA,NA,NA,NA,NA,NA,NA,MA57,NA,MA57
113,TXCTY,NA,NA,NA,NA,NA,NA,NA,NA,MA57,NA,MA57
114,NOESODAT,MA59,MA59,MA59,MA59,MA59,MA59,MA59,MA59,MA59,MA59,MA59
115,TFIELDS,NA,NA,NA,NA,MM,NA,MM,MM,MM,MM,MM
116,TTYPEi,NA,NA,NA,NA,MM,NA,MM,MM,MM,MM,MM
117,TFORMi,NA,NA,NA,NA,MM,NA,MM,MM,MM,MM,MM
118,TCOMMi,NA,NA,NA,NA,OP,NA,OP,OP,MM,MM,MM
119,TUNITi,NA,NA,NA,NA,M61,NA,MA60,MA60,M61,M61,M61
120,TUTYPi,NA,NA,NA,NA,M62,NA,NA,NA,NA,NA,NA
121,TUCDi,NA,NA,NA,NA,MM,NA,OP,OP,MM,MM,MM
122,TDMINi,NA,NA,NA,NA,MA63,NA,OP,OP,OP,OP,OP
123,TDMAXi,NA,NA,NA,NA,MA63,NA,OP,OP,OP,OP,OP
124,TNULLi,NA,NA,NA,NA,NA,NA,OP,OP,MA64,MA64,MA64
125,EXTNAME,MA65,MA65,MA65,MA65,MA65,MA65,MA65,MA65,MA65,MA65,MA65
126,TZEROi,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO
127,TSCALi,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO
128,EXTVER,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO
129,EXTLEVEL,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO
