file_old,ra_old,ra_new,ra_sim,dec_old,dec_new,dec_sim,obj_old,obj_new,obj_sim,diff_ra,diff_dec,diff_ra_newsim,diff_dec_newsim,diff_ra_newold,diff_dec_newold
OB_1263144_2016-04-04T03-21.fits,163.0969579166667,163.0969883,163.09698830000002,-58.74656472222222,-58.74654639999999,-58.74654639999999,HD94370A,HD  94370,HD  94370,-1.0231815394945443e-10,0.0,-1.0231815394945443e-10,0.0,0.10937999986708746,0.06596000000911317
OB_1263387_2016-03-02T03-21.fits,159.327625,159.3426875,159.34268749999998,-58.62827166666667,-58.62301666666666,-58.623016666666665,HD92206C,HD  92206,HD  92206,1.0231815394945443e-10,2.5579538487363607e-11,1.0231815394945443e-10,2.5579538487363607e-11,54.224999999996726,18.9180000000448
OB_1269732_2016-02-04T00-35.fits,76.95606749999997,76.95652603458333,76.95652603458333,30.40132611111111,30.40143817388888,30.401438173888888,RW Aur A,V* RW Aur,V* RW Aur,0.0,-2.5579538487363607e-11,0.0,-2.5579538487363607e-11,1.6507245000923376,0.40342599997273965
OB_1347294_2016-04-06T01-32.fits,160.2887679166666,160.2893578721129,160.28935787211293,-36.8954625,-36.89567785029278,-36.89567785029278,GJ 1135,CD-36  6589B,CD-36  6589B,-1.0231815394945443e-10,0.0,-1.0231815394945443e-10,0.0,2.1238396067360554,-0.7752610539967009
OB_1347312_2016-05-14T23-28.fits,89.23396041666666,89.23385783903625,89.23385783903625,-46.93160138888889,-46.93128268861556,-46.93128268861556,HIP 28153,CD-46  2096B,CD-46  2096B,0.0,0.0,0.0,0.0,-0.369279469492767,1.1473209839977017
OB_1348179_2016-06-05T06-05.fits,281.3953416666666,281.3951133,281.3951133,-37.83864444444445,-37.8388239,-37.8388239,RXJ1845,HD 173148,HD 173148,0.0,0.0,0.0,0.0,-0.822119999725146,-0.6460399999923538
OB_1348179_2016-08-10T05-07.fits,281.3953416666666,281.3951133,281.3951133,-37.83864444444445,-37.8388239,-37.8388239,RXJ1845,HD 173148,HD 173148,0.0,0.0,0.0,0.0,-0.822119999725146,-0.6460399999923538
OB_1348183_2016-05-19T08-19.fits,283.2748145833333,283.2749062,283.2749062,-36.17297916666666,-36.1729906,-36.1729906,RXJ1853,HD 174656,HD 174656,0.0,0.0,0.0,0.0,0.3298200000472207,-0.04116000002909459
OB_1348183_2016-08-12T02-31.fits,283.2748145833333,283.2749062,283.2749062,-36.17297916666666,-36.1729906,-36.1729906,RXJ1853,HD 174656,HD 174656,0.0,0.0,0.0,0.0,0.3298200000472207,-0.04116000002909459
OB_1348193_2016-06-15T08-33.fits,285.28580125,285.2858212,285.2858212,-36.95548222222222,-36.9555264,-36.955526400000004,SCrA,V* S CrA,V* S CrA,0.0,2.5579538487363607e-11,0.0,2.5579538487363607e-11,0.07181999988006282,-0.15903999998556628
OB_1424626_2016-11-14T09-00.fits,160.2887679166666,160.2893578721129,160.28935787211293,-36.8954625,-36.89567785029278,-36.89567785029278,GJ 1135,CD-36  6589B,CD-36  6589B,-1.0231815394945443e-10,0.0,-1.0231815394945443e-10,0.0,2.1238396067360554,-0.7752610539967009
OB_1424629_2016-10-02T07-35.fits,60.16717333333332,60.16762661234001,60.16762661234001,-23.08127333333333,-23.08091307481,-23.08091307481,GJ 3260,StKM 1-442B,StKM 1-442B,0.0,0.0,0.0,0.0,1.6318044240904328,1.2969306839863748
OB_1424674_2016-10-02T08-47.fits,89.23396041666666,89.23385783903625,89.23385783903625,-46.93160138888889,-46.93128268861556,-46.93128268861556,HIP 28153,CD-46  2096B,CD-46  2096B,0.0,0.0,0.0,0.0,-0.369279469492767,1.1473209839977017
OB_1670652_2017-07-05T03-29.fits,198.2797404166666,198.2798486448783,198.27984864487829,-45.62879638888889,-45.62897997848889,-45.628979978488886,2MASSJ13130714-4537438,Gaia DR3 6088027051573430400,CD-45  8499B,1.0231815394945443e-10,-2.5579538487363607e-11,1.0231815394945443e-10,-2.5579538487363607e-11,0.38962156212392074,-0.6609225600215041
OB_1737571_2017-05-19T07-11.fits,242.8806066666666,242.88044810984,242.88044810983996,-18.640545,-18.64080256596,-18.64080256596,AS205,V* V866 Sco B,V* V866 Sco B,1.0231815394945443e-10,0.0,1.0231815394945443e-10,0.0,-0.5708045758296976,-0.9272374560069352
OB_1737571_2017-05-19T07-42.fits,242.8806066666666,242.88044810984,242.88044810983996,-18.640545,-18.64080256596,-18.64080256596,AS205,V* V866 Sco B,V* V866 Sco B,1.0231815394945443e-10,0.0,1.0231815394945443e-10,0.0,-0.5708045758296976,-0.9272374560069352
