file_old,ra_old,ra_new,ra_sim,dec_old,dec_new,dec_sim,obj_old,obj_new,obj_sim,diff_ra,diff_dec,diff_ra_newsim,diff_dec_newsim
OB_1348204_2016-09-01T02-52.fits,285.4949591666666,285.49495948505,285.49490419999995,-36.96398305555556,-36.9639832558,-36.9638714,TCrA,V* T CrA,V* T CrA,0.19902618018932117,-0.4026808800006165,0.19902618018932117,-0.4026808800006165
OB_1848193_2017-10-28T05-29.fits,68.17838249999998,68.178375,68.17925716666667,25.87533277777778,25.87536111111111,25.87525105555556,UZ Tau,V* UZ Tau,V* UZ Tau,-3.175800000013851,0.39619999998876665,-3.175800000013851,0.39619999998876665
OB_1848193_2017-10-28T05-41.fits,68.17838249999998,68.178375,68.17925716666667,25.87533277777778,25.87536111111111,25.87525105555556,UZ Tau,V* UZ Tau,V* UZ Tau,-3.175800000013851,0.39619999998876665,-3.175800000013851,0.39619999998876665
OB_1848199_2017-10-28T06-52.fits,68.17838249999998,68.178375,68.17925716666667,25.87533277777778,25.87536111111111,25.87525105555556,UZ Tau,V* UZ Tau,V* UZ Tau,-3.175800000013851,0.39619999998876665,-3.175800000013851,0.39619999998876665
OB_1962014_2018-07-04T08-11.fits,281.3953416666666,281.3953416666666,281.39533974384835,-37.83864444444445,-37.83864444444445,-37.83861300642667,RXJ1845,HD 173148B,HD 173148B,0.006922145621501841,-0.11317686400218463,0.006922145621501841,-0.11317686400218463
OB_1962032_2018-07-30T05-22.fits,285.4949591666666,285.49495948505,285.49490419999995,-36.96398305555556,-36.9639832558,-36.9638714,TCrA,V* T CrA,V* T CrA,0.19902618018932117,-0.4026808800006165,0.19902618018932117,-0.4026808800006165
OB_200376116_2016-02-18T08-03.fits,161.2647404166666,161.26474075372,161.26477419999998,-59.68445861111111,-59.6844587777,-59.684430899999995,Eta Car,* eta Car,* eta Car,-0.1204066079480981,-0.10035972002242488,-0.1204066079480981,-0.10035972002242488
OB_200376116_2016-02-18T08-07.fits,161.2647404166666,161.26474075372,161.26477419999998,-59.68445861111111,-59.6844587777,-59.684430899999995,Eta Car,* eta Car,* eta Car,-0.1204066079480981,-0.10035972002242488,-0.1204066079480981,-0.10035972002242488
OB_200376116_2016-02-18T08-14.fits,161.2647404166666,161.26474075372,161.26477419999998,-59.68445861111111,-59.6844587777,-59.684430899999995,Eta Car,* eta Car,* eta Car,-0.1204066079480981,-0.10035972002242488,-0.1204066079480981,-0.10035972002242488
OB_200376162_2016-02-19T06-38.fits,161.2647404166666,161.26474075372,161.26477419999998,-59.68445861111111,-59.6844587777,-59.684430899999995,Eta Car,* eta Car,* eta Car,-0.1204066079480981,-0.10035972002242488,-0.1204066079480981,-0.10035972002242488
OB_200376162_2016-02-19T06-56.fits,161.2647404166666,161.26474075372,161.26477419999998,-59.68445861111111,-59.6844587777,-59.684430899999995,Eta Car,* eta Car,* eta Car,-0.1204066079480981,-0.10035972002242488,-0.1204066079480981,-0.10035972002242488
OB_200418483_2017-03-13T07-10.fits,242.6190016666666,242.61900197337,242.6190453,-19.07980555555556,-19.07980568037,-19.0796939,2MASS J16102857-1904469,ScoPMS  42a,GSC 06209-00982,-0.1559758680741652,-0.4024093320069255,-0.1559758680741652,-0.4024093320069255
OB_2520865_2019-10-29T06-05.fits,67.99079916666666,67.99079166666667,67.990826625,18.36054083333334,18.36052777777778,18.360261333333337,V710 Tau,V* V710 Tau,V* V710 Tau,-0.12584999998921376,0.9591999999912559,-0.12584999998921376,0.9591999999912559
OB_2520865_2019-10-29T06-45.fits,67.99079916666666,67.99079166666667,67.990826625,18.36054083333334,18.36052777777778,18.360261333333337,V710 Tau,V* V710 Tau,V* V710 Tau,-0.12584999998921376,0.9591999999912559,-0.12584999998921376,0.9591999999912559
OB_2520865_2019-12-21T04-36.fits,67.99079916666666,67.99079166666667,67.990826625,18.36054083333334,18.36052777777778,18.360261333333337,V710 Tau,V* V710 Tau,V* V710 Tau,-0.12584999998921376,0.9591999999912559,-0.12584999998921376,0.9591999999912559
OB_2520865_2019-12-21T05-15.fits,67.99079916666666,67.99079166666667,67.990826625,18.36054083333334,18.36052777777778,18.360261333333337,V710 Tau,V* V710 Tau,V* V710 Tau,-0.12584999998921376,0.9591999999912559,-0.12584999998921376,0.9591999999912559
