file_old,ra_old,ra_new,ra_sim,dec_old,dec_new,dec_sim,obj_old,obj_new,obj_sim
OB_1174380_2015-05-29T05-00.fits,232.748531,232.748531,0.0,-6.28608,-6.28608,0.0,107 Camilla,107 Camilla,-
OB_1174380_2015-05-29T05-00.fits,232.748531,232.748531,0.0,-6.28608,-6.28608,0.0,107 Camilla,107 Camilla,-
OB_1184671_2015-08-06T08-50.fits,359.60302,359.60302,0.0,-21.66736,-21.66736,0.0,Kalliope,Kalliope,-
OB_1184671_2015-08-06T08-50.fits,359.60302,359.60302,0.0,-21.66736,-21.66736,0.0,Kalliope,Kalliope,-
OB_1184671_2015-08-06T08-59.fits,359.602291,359.602291,0.0,-21.66856,-21.66856,0.0,Kalliope,Kalliope,-
OB_1184671_2015-08-22T07-27.fits,357.900281,357.900281,0.0,-23.47123,-23.47123,0.0,Kalliope,Kalliope,-
OB_1184671_2015-08-25T04-51.fits,357.441442,357.441442,0.0,-23.78986,-23.78986,0.0,Kalliope,Kalliope,-
OB_1184674_2015-08-28T06-22.fits,356.913819,356.913819,0.0,-24.11518,-24.11518,0.0,Kalliope,Kalliope,-
OB_1184678_2015-08-22T07-47.fits,359.836081,359.836081,0.0,-3.82338,-3.82338,0.0,Eugenia,Eugenia,-
OB_1184678_2015-08-22T07-47.fits,359.836081,359.836081,0.0,-3.82338,-3.82338,0.0,Eugenia,Eugenia,-
OB_1184678_2015-08-25T05-11.fits,359.452542,359.452542,0.0,-4.13087,-4.13087,0.0,Eugenia,Eugenia,-
OB_1184681_2015-08-28T06-01.fits,359.008846,359.008846,0.0,-4.46783,-4.46783,0.0,Eugenia,Eugenia,-
OB_1184684_2015-09-04T04-56.fits,357.861731,357.861731,0.0,-5.28185,-5.28185,0.0,Eugenia,Eugenia,-
OB_1198747_2015-04-26T03-33.fits,272.691829,272.691829,0.0,-36.64882,-36.64882,0.0,Apulse 1 for chariklo,Apulse 1 for chariklo,-
OB_1198747_2015-04-26T03-39.fits,272.691698,272.691698,0.0,-36.64886,-36.64886,0.0,Apulse 1 for chariklo,Apulse 1 for chariklo,-
OB_1198769_2015-07-21T23-56.fits,268.008816,268.008816,0.0,-36.41086,-36.41086,0.0,appulse3,appulse3,-
OB_1198769_2015-07-21T23-56.fits,268.008816,268.008816,0.0,-36.41086,-36.41086,0.0,appulse3,appulse3,-
OB_1198769_2015-07-21T23-58.fits,268.008776,268.008776,0.0,-36.41085,-36.41085,0.0,appulse3,appulse3,-
OB_1198769_2015-07-22T00-20.fits,268.007384,268.007384,0.0,-36.41047,-36.41047,0.0,appulse3,appulse3,-
OB_1220042_2015-06-12T09-56.fits,354.465774,354.465774,0.0,-18.53109,-18.53109,0.0,22 Kalliope,22 Kalliope,-
OB_1220044_2015-07-13T08-38.fits,359.279937,359.279937,0.0,-19.49023,-19.49023,0.0,22 Kalliope,22 Kalliope,-
OB_1220044_2015-07-18T07-26.fits,359.622919,359.622919,0.0,-19.84806,-19.84806,0.0,22 Kalliope,22 Kalliope,-
OB_1220046_2015-07-19T09-34.fits,359.679205,359.679205,0.0,-19.93374,-19.93374,0.0,22 Kalliope,22 Kalliope,-
OB_1220046_2015-07-19T09-34.fits,359.679205,359.679205,0.0,-19.93374,-19.93374,0.0,22 Kalliope,22 Kalliope,-
OB_1220052_2015-05-29T04-19.fits,232.756968,232.756968,0.0,-6.28793,-6.28793,0.0,107 Camilla,107 Camilla,-
OB_1220052_2015-05-29T04-23.fits,232.756503,232.756503,0.0,-6.28783,-6.28783,0.0,107 Camilla,107 Camilla,-
OB_1357195_2016-02-16T04-19.fits,143.664276,143.664276,0.0,13.01418,13.01418,0.0,130_Elektra,130_Elektra,-
OB_1388468_2016-07-02T08-53.fits,295.730381,295.730381,0.0,-9.24376,-9.24376,0.0,107 Camilla,107 Camilla,-
OB_1388468_2016-08-11T02-54.fits,289.377114,289.377114,0.0,-11.18802,-11.18802,0.0,107 Camilla,107 Camilla,-
OB_1388487_2016-07-28T05-59.fits,291.353392,291.353392,0.0,-10.36215,-10.36215,0.0,107 Camilla,107 Camilla,-
OB_1388506_2016-07-12T05-13.fits,294.070623,294.070623,0.0,-9.57961,-9.57961,0.0,107 Camilla,107 Camilla,-
OB_1388529_2016-07-30T01-46.fits,291.064785,291.064785,0.0,-10.46618,-10.46618,0.0,107 Camilla,107 Camilla,-
OB_1686622_2017-07-10T09-57.fits,350.776216,350.776216,0.0,-18.58184,-18.58184,0.0,87 Sylvia,87 Sylvia,-
OB_1686630_2017-07-08T07-42.fits,350.687585,350.687585,0.0,-18.45474,-18.45474,0.0,87 Sylvia,87 Sylvia,-
OB_1686637_2017-07-22T09-53.fits,350.846917,350.846917,0.0,-19.46102,-19.46102,0.0,87 Sylvia,87 Sylvia,-
OB_1686674_2017-05-28T02-33.fits,248.03508,248.03508,0.0,-20.90433,-20.90433,0.0,596 Scheila,596 Scheila,-
OB_1686688_2017-05-30T06-01.fits,247.491424,247.491424,0.0,-21.08715,-21.08715,0.0,596 Scheila,596 Scheila,-
OB_1686702_2017-06-23T04-53.fits,242.060119,242.060119,0.0,-23.02776,-23.02776,0.0,596 Scheila,596 Scheila,-
OB_1686709_2017-07-25T00-56.fits,275.413624,275.413624,0.0,-23.51661,-23.51661,0.0,476 Hedwig,476 Hedwig,-
OB_1686717_2017-05-30T07-02.fits,287.509763,287.509763,0.0,-26.97277,-26.97277,0.0,476 Hedwig,476 Hedwig,-
OB_1686724_2017-05-28T08-14.fits,287.721047,287.721047,0.0,-27.05295,-27.05295,0.0,476 Hedwig,476 Hedwig,-
OB_1686724_2017-07-22T01-12.fits,275.956105,275.956105,0.0,-23.74622,-23.74622,0.0,476 Hedwig,476 Hedwig,-
OB_1686731_2017-06-28T06-22.fits,281.624093,281.624093,0.0,-25.47511,-25.47511,0.0,476 Hedwig,476 Hedwig,-
OB_1734249_2017-05-05T22-59.fits,163.975987,163.975987,0.0,10.72794,10.72794,0.0,41 Daphne,41 Daphne,-
OB_2215516_2018-12-14T06-45.fits,113.621089,113.621089,0.0,2.39337,2.39337,0.0,216 Kleopatra,216 Kleopatra,-
OB_2223993_2018-12-18T02-50.fits,64.05601,64.05601,0.0,28.14106,28.14106,0.0,46P,46P,-
OB_2224083_2018-12-14T05-33.fits,55.323503,55.323503,0.0,13.74614,13.74614,0.0,46P,46P,-
OB_2224083_2018-12-18T03-58.fits,64.168915,64.168915,0.0,28.31567,28.31567,0.0,46P,46P,-
OB_2311768_2019-08-07T01-43.fits,269.4520766666666,269.4520769586187,0.0,4.693364722222222,4.693364966576667,0.0,Barnards star,NAME Barnard''s star,-
OB_2311944_2019-08-29T02-05.fits,269.4520766666666,269.4520769586187,0.0,4.693364722222222,4.693364966576667,0.0,Barnards star,NAME Barnard''s star,-
OB_2311944_2019-08-29T02-18.fits,269.4520766666666,269.4520769586187,0.0,4.693364722222222,4.693364966576667,0.0,Barnards star,NAME Barnard''s star,-
OB_2437245_2019-05-23T23-22.fits,80.180464,80.180464,0.0,-44.13839,-44.13839,0.0,1999KW4,1999KW4,-
OB_2437372_2019-05-24T23-23.fits,102.256178,102.256178,0.0,-41.45642,-41.45642,0.0,1999KW4,1999KW4,-
OB_2437380_2019-05-25T23-27.fits,125.419182,125.419182,0.0,-33.14254,-33.14254,0.0,1999KW4,1999KW4,-
OB_2437396_2019-05-28T00-31.fits,155.889016,155.889016,0.0,-11.17982,-11.17982,0.0,1999KW4,1999KW4,-
