FILE                              	RA               	DEC                	OBJECT                      	OBSTECH                     	
OB_1174345_2015-04-19T08-55.fits  	249.09401187491  	-42.85886170216    	HD 149404                   	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1174348_2015-04-19T09-30.fits  	245.62111454168  	-43.9120551456     	HD 147225                   	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1174351_2015-04-19T09-49.fits  	249.2897460604166	-10.56709151972222 	* zet Oph                   	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1174355_2015-06-19T04-48.fits  	252.89050752178  	-41.23053319986    	HD 151804                   	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1174358_2015-06-19T05-23.fits  	245.62111454168  	-43.9120551456     	HD 147225                   	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1174358_2015-06-19T05-29.fits  	245.62111454168  	-43.9120551456     	HD 147225                   	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1174361_2015-06-19T06-03.fits  	256.61820323301  	-35.45104460921    	HD 154368                   	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1174380_2015-05-29T05-00.fits  	232.748531       	-6.28608           	107 Camilla                 	IMAGE,DUAL                  	
OB_1174383_2015-05-29T05-46.fits  	234.54521231825  	-12.98047098203    	HD 139380                   	IMAGE,DUAL                  	
OB_1175387_2015-04-05T08-38.fits  	244.27254427823  	-67.94128417288999 	HD 145689                   	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1175589_2015-06-09T06-16.fits  	262.20689494262  	0.33062490012      	HD 158352                   	IMAGE,DUAL,CORONOGRAPHY     	
OB_1176048_2015-06-12T05-15.fits  	268.00302895642  	-28.02237657068    	V* KW Sgr                   	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176048_2015-06-12T05-27.fits  	268.00302895642  	-28.02237657068    	V* KW Sgr                   	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176051_2015-06-12T05-44.fits  	271.4520337449999	-30.42408984944445 	* gam02 Sgr                 	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176051_2015-06-12T05-48.fits  	271.4520337449999	-30.42408984944445 	* gam02 Sgr                 	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176055_2015-06-11T07-35.fits  	272.01685116281  	-22.22405580529    	V* VX Sgr                   	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176058_2015-06-11T08-01.fits  	275.38069213598  	-24.91527538332    	*  70 Sgr                   	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176058_2015-06-11T08-05.fits  	275.38069213598  	-24.91527538332    	*  70 Sgr                   	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176064_2015-06-26T06-38.fits  	270.01790894804  	-35.9276048409     	V* V540 Sgr                 	IMAGE,CLASSICAL,CORONOGRAPHY	
