dp_id,obs_creator_did
ADP.2022-12-14T08:59:35.264,ivo://eso.org/origfile?OB_2623868_2019-11-01T00-32.fits
ADP.2022-12-14T08:59:35.265,ivo://eso.org/origfile?OB_2514896_2019-10-02T06-06.fits
ADP.2022-12-14T08:59:35.266,ivo://eso.org/origfile?OB_2298453_2019-04-12T00-17.fits
ADP.2022-12-14T08:59:35.267,ivo://eso.org/origfile?OB_2298456_2019-04-12T01-30.fits
ADP.2022-12-14T08:59:35.268,ivo://eso.org/origfile?OB_1907940_2019-04-07T05-10.fits
ADP.2022-12-14T08:59:35.269,ivo://eso.org/origfile?OB_2139458_2019-04-07T03-16.fits
ADP.2022-12-14T08:59:35.270,ivo://eso.org/origfile?OB_2255627_2019-04-09T03-26.fits
ADP.2022-12-14T08:59:35.271,ivo://eso.org/origfile?OB_2255627_2019-04-09T03-44.fits
ADP.2022-12-14T08:59:35.272,ivo://eso.org/origfile?OB_2255639_2019-04-09T02-30.fits
ADP.2022-12-14T08:59:35.273,ivo://eso.org/origfile?OB_2255639_2019-04-09T02-48.fits
ADP.2022-12-14T08:59:35.274,ivo://eso.org/origfile?OB_2298444_2019-04-09T01-51.fits
ADP.2022-12-14T08:59:35.275,ivo://eso.org/origfile?OB_2298447_2019-04-09T02-11.fits
ADP.2022-12-14T08:59:35.276,ivo://eso.org/origfile?OB_2377401_2019-04-09T01-13.fits
ADP.2022-12-14T08:59:35.277,ivo://eso.org/origfile?OB_2377401_2019-04-09T01-27.fits
ADP.2022-12-14T08:59:35.278,ivo://eso.org/origfile?OB_2285259_2019-04-10T01-19.fits
ADP.2022-12-14T08:59:35.279,ivo://eso.org/origfile?OB_2298450_2019-04-10T00-14.fits
ADP.2022-12-14T08:59:35.280,ivo://eso.org/origfile?OB_2139455_2019-04-19T03-10.fits
ADP.2022-12-14T08:59:35.281,ivo://eso.org/origfile?OB_2233845_2019-04-24T23-51.fits
ADP.2022-12-14T08:59:35.282,ivo://eso.org/origfile?OB_2233848_2019-04-25T00-07.fits
ADP.2022-12-14T08:59:35.283,ivo://eso.org/origfile?OB_2244145_2019-04-26T01-22.fits
ADP.2022-12-14T08:59:35.284,ivo://eso.org/origfile?OB_2255648_2019-04-26T03-38.fits
ADP.2022-12-14T08:59:35.285,ivo://eso.org/origfile?OB_2298459_2019-04-26T01-46.fits
ADP.2022-12-14T08:59:35.286,ivo://eso.org/origfile?OB_2298462_2019-04-26T04-24.fits
ADP.2022-12-14T08:59:35.287,ivo://eso.org/origfile?OB_1928103_2019-04-27T06-27.fits
ADP.2022-12-14T08:59:35.288,ivo://eso.org/origfile?OB_2255636_2019-04-28T07-27.fits
ADP.2022-12-14T08:59:35.289,ivo://eso.org/origfile?OB_2255618_2019-05-01T05-50.fits
ADP.2022-12-14T08:59:35.290,ivo://eso.org/origfile?OB_2255633_2019-05-01T06-38.fits
ADP.2022-12-14T08:59:35.291,ivo://eso.org/origfile?OB_2298459_2019-05-01T08-02.fits
ADP.2022-12-14T08:59:35.292,ivo://eso.org/origfile?OB_2298474_2019-05-01T07-41.fits
ADP.2022-12-14T08:59:35.293,ivo://eso.org/origfile?OB_1943818_2019-05-04T09-02.fits
ADP.2022-12-14T08:59:35.294,ivo://eso.org/origfile?OB_2298480_2019-05-04T09-46.fits
ADP.2022-12-14T08:59:35.295,ivo://eso.org/origfile?OB_2255491_2019-05-09T03-59.fits
ADP.2022-12-14T08:59:35.296,ivo://eso.org/origfile?OB_2295408_2019-05-09T04-58.fits
